code,iso,country,region,total,B.1.1,B.1.2,B.1.3,B.1.4,B.1.5,B.1.6,B.2.1,B.2.2,B.2.3,B.2.4,B.3.1,B.3.2,B.3.3,B.3.4,B.3.5,B.1,B.2,B.3,B
100,BGR,Bulgaria,Europe and Central Asia,45.47,90.87,84.33,35.97,65.82,48.81,34.38,92.62,58.14,32.28,9.51,52.19,65.41,34.89,56.66,33.08,62.81,51.94,28.68,49.31
104,MMR,Myanmar,East Asia and Pacific,42.71,62.22,74.8,68.46,51.18,35.01,78.02,87.82,52.92,36.79,49.75,56.84,58.23,29.18,30.76,27.88,61.48,60.41,27.33,50.91
108,BDI,Burundi,Sub-Saharan Arica,36.43,46.6,69.16,89.97,24.69,52.66,96.79,82.76,37.18,25.75,22.26,50.66,67.13,10.17,28.19,32.9,62.52,45.83,24.11,45.99
112,BLR,Belarus,Europe and Central Asia,47.65,98.05,87.93,49.56,46.27,55.74,28.15,84.86,47.42,46.72,6.83,52.17,69.56,32.67,52.83,34.78,64.91,48.63,29,49.25
116,KHM,Cambodia,East Asia and Pacific,41.18,71.05,78.52,83.6,58.04,44.79,81.39,90.16,58.49,13.28,34.63,52.87,67.92,18.06,28.96,21.3,69.51,54.5,26.16,52
12,DZA,Algeria,Middle East and North Africa,41.7,79.44,93.11,88.8,55.34,50.24,35.69,83.37,63.1,19.59,33.61,47.38,77.26,33.2,52.17,32.64,69.55,54.31,29.45,52.95
120,CMR,Cameroon,Sub-Saharan Arica,38.45,30.5,61.3,86.44,35.06,20.92,85.38,93.6,45.44,3.04,39.37,40.93,62.76,16,27.97,35.16,51.48,51.84,22.41,42.87
124,CAN,Canada,North America,63.16,96.84,93.46,62.78,69.85,68.84,20.03,73.55,59.72,77.83,14.91,62.13,68.28,62.58,78.98,38.48,72.25,55.57,36.34,56.48
132,CPV,Cabo Verde,Sub-Saharan Arica,39.78,77.44,81.79,79.02,50.63,53.07,56.13,44.14,53.76,27.76,22.58,73.56,85.26,30.08,33.7,23.97,67.9,38.04,35.69,49.28
140,CAF,Central African Republic,Sub-Saharan Arica,31.79,3.45,34.34,77.09,25.03,20.13,97.5,88.67,42.76,9.16,32.44,30.74,76.81,11.67,29.49,39.62,39.23,48.86,21.97,36.94
144,LKA,Sri Lanka,South Asia,42.8,92.52,94.09,52.75,58.51,47.55,43.04,89,53.29,26.43,37.25,67.24,74.01,30.35,35.94,32.1,67.64,55.82,32.46,53.54
148,TCD,Chad,Sub-Saharan Arica,30.71,2,66.59,91.36,23.74,13.7,94.41,79.3,36.54,4.4,13.22,22.23,65.54,0.59,30.85,35.5,45.8,38.5,16.19,34.72
152,CHL,Chile,Latin America and The Caribbean,53.05,89.7,76.34,72.09,61.15,60.29,35.88,96.6,52.43,63.78,38.05,72.02,48.38,51.72,46.37,37.72,68.31,64.72,32.9,56.61
156,CHN,China,East Asia and Pacific,57.29,95.08,89.09,61.77,51.57,55.16,47.41,79.98,46.94,30.77,43.05,47.83,63.59,31.05,37.9,30,69.58,53.64,26.75,51.95
170,COL,Colombia,Latin America and The Caribbean,49.87,79.33,64.72,83.1,48.95,62.02,21.88,89.52,44.55,49.55,50.11,77.11,71.24,48.37,41.67,35.5,62.48,61.2,37.34,54.56
180,COD,Dem. Rep. Congo,Sub-Saharan Arica,37.21,25.21,48.34,87.67,32.69,20.16,93.57,67.45,35.5,15.4,39.85,50.21,45.17,4.2,29.35,35.94,48.66,43.33,19.07,38.19
188,CRI,Costa Rica,Latin America and The Caribbean,50.4,85.53,82.16,78.5,58.6,68.49,24.46,79.99,53.26,46.81,44.91,62.01,65.04,41.99,33.3,34.48,69.21,58.48,31.96,54.81
191,HRV,Croatia,Europe and Central Asia,48.9,97.19,85.7,34.74,68.35,49.22,30.27,80.36,42.79,34.8,7.04,58.52,68.33,36.82,61.52,35.2,64.06,44.04,30.86,48.09
192,CUB,Cuba,Latin America and The Caribbean,47.29,89.04,84.68,53.82,66.02,65.28,53.17,76.05,62.16,28.61,7.67,62.5,61.75,33.29,50.46,35.86,70.68,46.53,29.88,51.19
196,CYP,Cyprus,Europe and Central Asia,50.92,99.63,80.84,72.57,69.67,50.55,26.59,91.51,54.14,53.82,26.97,48.65,65.53,34.49,71.01,27.15,69.55,58.9,27.9,53.86
203,CZE,Czech Republic,Europe and Central Asia,54.09,97.96,87.18,49.52,67.91,60.48,35.68,87.19,42.26,65.15,2.67,58.98,64.74,34.19,70.76,37.06,69.46,50.22,29.84,51.8
204,BEN,Benin,Sub-Saharan Arica,37.3,30.74,61.3,87.16,37.5,23.59,86.04,92.03,36.13,5.69,4.6,35.29,67.8,12.1,24.97,36.52,52.52,40.43,21.41,39.56
208,DNK,Denmark,Europe and Central Asia,62.08,98.13,91.51,47.66,73.08,65.44,28.83,87.14,60.95,68.41,4.63,64.61,65.48,34.19,84.7,34.56,70.72,55.89,31.13,54.39
214,DOM,Dominican Republic,Latin America and The Caribbean,41.24,61.97,80.75,80.48,40.88,53.08,49.08,88.99,39.21,35.12,24.47,61.22,63.32,33.55,45.3,29.66,62.5,50.51,29.94,49.14
218,ECU,Ecuador,Latin America and The Caribbean,45.6,77.82,89.49,81.66,56.76,43.25,42.74,81.84,46.89,58.51,51.17,64.04,61.17,40.33,29.4,34.12,67.27,61.16,31.39,54.67
231,ETH,Ethiopia,Sub-Saharan Arica,39.7,46.11,70.1,91.78,27.68,21.13,88.62,78.42,44.05,9.26,41.97,46.98,70.76,1.78,22.24,35.66,56.73,48.42,22.44,43.95
233,EST,Estonia,Europe and Central Asia,50.88,99.24,80.94,51.21,67.98,54.33,11.13,92.15,32.39,73.15,4.59,59.25,70.78,37.28,68.07,34,64.52,51.25,31.52,50.64
242,FJI,Fiji,East Asia and Pacific,43.28,78.16,69.91,56.47,62.47,43.88,58.54,91.03,33.3,44.98,50.03,70.03,66.14,42.14,36.66,33.36,62.45,58.09,33.83,52.56
246,FIN,Finland,Europe and Central Asia,62.56,99.44,92.52,61.29,70,56.78,10.85,88.09,44.42,76.72,8.71,60.84,59.52,40.95,81.59,32.76,69.09,54.62,30.55,53.19
250,FRA,France,Europe and Central Asia,62.81,97.96,83.8,55.2,70.14,61.13,23,81.09,49.99,60.83,26.72,67.67,69.11,34.96,81.84,36.52,68.47,55.71,32.54,53.86
266,GAB,Gabon,Sub-Saharan Arica,36.75,53.13,55.14,84.9,48.01,26.33,62.86,70.1,59.68,9.37,28.08,50.82,66.4,54.34,51.15,39.76,54.46,46.02,32.15,45.24
268,GEO,Georgia,Europe and Central Asia,44.52,87.62,74.91,50.24,62.64,47.13,48.3,86.33,55.79,21.48,5.39,52.14,74.37,37.64,28.48,34.32,63.65,46.41,30.75,48.61
