Governance,Zoonoses,Food Security,Antimicrobial Resistance,Climate health
32.5,57.93,60.63,19.76,52.92
17.12,58.38,46.99,43.41,46.63
23.62,39.76,33.27,23.82,57.96
25.33,57.35,59.79,53.36,49.47
31.51,46.35,46.18,29.69,45.84
22.83,43.19,56.84,30.78,46.23
27.08,47.45,45.87,21.87,49.44
78.57,70.61,69.68,49.39,66.27
23.42,42.48,47.71,22.71,51.09
14.49,37.29,33.99,20.83,50.3
24.86,47.11,45.58,34.67,54.99
9.14,40.48,32.74,23.23,47.51
47.33,56.8,61.78,43,60.13
72.39,55.96,67.86,55.68,52.6
40.24,62.81,52.45,46.32,51.39
20.08,49.62,39.21,27.16,59.97
30.71,58.41,60.7,42.38,63.1
31.07,62.5,58.24,50.1,53.53
39.03,52.05,59.18,43.09,46.94
30.08,64.09,60.96,42.72,61.48
50.05,60.34,60.28,52.83,58.77
26.97,37.79,46.02,24.69,51.31
65.82,59.16,65.34,72.57,67.48
24.02,46.72,49.93,23.66,53.62
31.46,51.33,52.85,34.02,53.65
14.72,46.74,41.25,43.54,57.25
36.5,54.03,61.71,50.4,55.12
18.17,52.47,50.29,29.58,56.58
66.05,70.27,68.5,64.38,65
67.54,59.51,67.16,72.8,71.04
18.26,44.53,46.84,13.55,48.83
31.65,52.95,52.38,31.63,51.69
87.64,67.41,66.76,64.47,66.44
36.4,43.94,45.84,38.08,49.51
65.14,59.83,58.58,53.7,58.69
28.45,48.63,52.72,40.72,51.1
37.93,59.75,59.21,38.43,50.79
27.99,48.23,43.91,22.92,52.04
23.7,48.96,49.28,20.71,48.03
33.46,59.77,61.52,47.29,60.85
73.65,52.1,63.43,55.81,59.76
31,57.98,52.04,35.7,44.04
69.37,67.45,69.15,55.42,52.52
28.19,60.18,53.29,48.79,48.76
21.69,66.53,51.65,46.61,44.65
16.85,48.02,42.1,36.35,44.42
53.61,66.41,64.46,60.04,66.91
40.81,57.5,62.56,46.09,54.11
73.73,66.33,70.14,54.36,64.5
32.52,57.67,41.93,29.63,51.79
83.88,60.2,67.42,68.35,61.99
19.42,54.15,56.36,42.37,53.02
30.44,41.13,35.58,23.54,52.72
56.9,68.2,66.98,70.88,60.82
28.16,49.93,50.27,42.91,48.31
26.04,49.25,40.02,43.01,53.48
44.38,66.27,64.78,54.22,64.42
22.48,53.72,54.4,35.98,53.46
14.71,48.17,46.88,33.77,47.88
26.85,58.58,50.07,31.15,48.49
31.6,47.96,40.46,22.91,58.61
38.03,57.7,59.82,54.21,56.75
10.67,50.38,47.42,20.07,44.66
34.31,62.64,58.77,51.73,55.13
55.88,53.89,65.23,56.33,66.12
14.71,47.78,35.28,27.51,54.54
24.92,44.14,38.27,24.81,58.27
22.34,59.39,53.02,64.38,49.35
21.74,50.39,48,26.86,51.37
41.23,52.64,61.74,50.11,59.13
10.39,37.19,44.38,19.1,52.45
26.2,54.17,54.97,36.2,32.28
25.26,55.33,53.67,28.61,54.76
31.15,66.26,56.56,41.96,52.3
19.2,52.87,49.9,29.41,42.07
27.14,59.08,55.47,30.26,53.01
20.47,49.55,48.29,33.9,47.67
27.58,52.24,54.8,45.62,47.52
22.64,47.75,36.17,40.99,52.3
25.2,54.68,51.99,30.63,47.7
20.85,60.43,50.49,44.05,40.95
28.88,47.79,44.94,35.25,56.31
27.57,49.27,53.82,31.28,52.09
21.66,45.81,46.35,38.31,52.98
74.22,56.21,68.03,74.16,62.52
67.07,64.09,65.24,46.59,61.45
29.39,62.87,52.66,31.93,45.82
56.97,60.12,65.57,65.8,58.29
23,47.01,39.01,18.5,49.15
19.11,46.35,39.01,36.11,51.33
79.01,70.75,71.45,72.51,60.96
13.36,45.63,47.25,28.28,46.36
30.42,55.37,56.16,30.42,52.76
23,43.84,41.66,17.85,52.66
29.35,56.37,54.07,33.22,49.04
31.21,56.99,53.06,32.99,53.22
24.61,56.63,57.44,46.03,50.84
60.47,58.42,61.8,42.96,50.37
43.23,55.14,62.55,62.05,59.88
19.94,55.82,43.18,34.9,50.48
21.66,63.89,57.95,39.17,32.17
33.12,54.41,48.29,37.93,58.55
31.53,57.68,55.39,42.12,56.45
44.48,48.62,64.78,51.49,58.51
30.95,57.59,45.72,35.87,57.81
31.89,60.68,52.08,25.21,46.37
26.48,52.54,54.86,42.4,39.24
16.06,47.01,43.45,20.79,51.87
32.02,57.72,56.64,45.15,48.31
20.18,47.03,52.76,19.79,48.5
29,45.07,35.88,20.66,60.3
52.14,60.61,62.56,54.32,52.07
33.94,57.59,55.61,47.37,61.94
30.07,54.16,61.35,40.48,44.51
43.58,63.82,63.38,50.67,63.22
33.03,68.01,54.59,30.69,57.19
25.6,43.95,37.23,36.04,52.92
30.57,56.58,47.56,27.33,47.42
64.39,60.04,68.66,65.44,63.77
17.28,40.32,42.14,39.38,54.51
26.24,48.53,46.08,36.36,50.34
76.37,62.05,64.28,74.98,71.58
82.94,64.94,67.44,63.73,70.68
55.83,67.36,62.92,36.76,57.69
14.36,52.18,45.13,34.29,57.39
35.38,63.76,53.58,60.99,45.56
20.91,48.5,43.77,25,47.94
27.85,45.95,50.62,22.29,44.52
24.61,58.03,65.57,37.85,42.11
29,48.61,56.53,32.93,47.04
30.13,58.91,55.83,43.67,51.6
10.01,55.88,51.84,28.94,44.49
26.25,58.69,58.2,25.22,50.67
22.89,45.36,38.85,40.18,59.64
28.48,54.23,56.59,30.79,55.99
45.18,60.84,52.34,32.51,46.63
84.47,65.25,68.27,68.74,69.82
27.5,47.54,49.01,27.37,49.04
82.7,71.8,70.14,62.02,62
27.24,47.26,45.74,36.92,51.47
22.73,56.94,59.59,41.09,52.13
22.03,53.31,54.15,34.06,43.7
13.97,40.91,31.74,24.93,53.62
20.58,40.36,39.56,35.89,57.62
24.22,52.32,60.65,37.24,37.76
34.56,54.42,53.38,40.03,53.39
