Food Demand and Supply,Food Safety,Nutrition,Natural and social circumstances,Government support and response
66.02,91.79,76.69,57.12,11.52
56.37,51.37,67.24,49.17,10.79
28.15,42.4,39.31,40.45,16.07
63.06,95.51,82.13,50.06,8.17
51.39,59.35,57.77,48.69,13.71
60.25,77.31,79.33,55.69,11.62
47.67,48.37,63.4,52.3,17.63
69.1,97.45,90.96,70.88,20.03
40.46,73.65,63.89,43.92,16.61
36.53,38.95,32.51,46.29,15.69
56.86,48.84,62.85,51.05,8.31
42.21,32.31,43.53,40.42,5.23
71,87.97,81.37,51.35,17.23
70.16,97.56,85.13,54.97,31.48
49.83,77.15,73.43,49.13,12.7
42.46,37.22,46.25,55.37,14.76
62.89,86.59,79.46,52.03,22.55
57.92,88.71,79.29,54.93,10.37
59.61,91.06,79.81,54.59,10.84
55.33,97.35,80.59,60.43,11.09
65.6,81.82,81.8,60.31,11.85
47.88,54.59,56.9,51.45,19.3
65.56,93.81,90.17,62,15.17
57.23,56.85,65.84,55.75,13.97
62.64,78.18,60.31,51.94,11.18
48.33,41.55,59.46,33.02,23.9
66.08,86.15,86.31,64.32,5.72
47.18,64.39,70.37,47.69,21.81
69.21,94.53,93.11,66.41,19.23
74.22,90.57,90.44,60.79,19.76
52.72,54.31,61.97,55.7,9.5
55.58,77.78,67.51,49.89,11.17
72.47,90.37,87.9,62.07,21.01
51.38,50.76,66.08,46.92,14.06
52.91,87.83,86.01,56.92,9.22
55.09,81.88,77.69,47.64,1.29
58.91,85.68,83.41,45.35,22.7
40.84,59.53,58.09,48.24,12.85
49.42,68.45,61.99,54.6,11.95
66.71,89.85,83.53,53.97,13.55
65.09,70.44,96.33,65,20.29
65.23,75.34,49.52,46.14,23.95
64.89,91.64,91.69,75.47,22.08
62.56,66.46,65,52.1,20.34
62.21,64.59,77.18,37.94,16.3
39.13,55.43,55.65,50.02,10.25
68.58,94.5,94.74,51.67,12.84
56.34,75.02,96.17,68.81,16.49
77.54,81.6,89.42,68.61,33.52
51,36.75,56.61,51.5,13.79
86.65,94.96,77.05,53.73,24.72
61.66,73.56,81.14,53.41,12.06
35.87,43.78,47.96,38.07,12.22
73.8,90.44,95.27,58.19,17.21
51.97,68.76,65.95,51.99,12.68
46.43,35.07,55.33,40.9,22.36
76.1,73.91,91.94,64.06,17.87
64.16,77.5,70.5,50.14,9.69
54.58,51.47,60.6,48.7,19.02
57.49,60.54,68.17,59.15,5.01
46.73,39.97,52.2,47.2,16.22
61.98,88.74,80.37,58.4,9.59
