code,iso,Rank,country,region,total,CDI-Rank,CDI,A-Rank,A,B-Rnk,B,C-Rank,C,D-Rank,D,E-Rank,E,F-Rank,F,G-Rank,G
826,GBR,1,United Kingdom,Europe and Central Asia,65.63,1,71.55,15,50.93,27,54.49,2,84.47,15,65.25,8,68.27,7,68.74,4,69.82
276,DEU,2,Germany,Europe and Central Asia,65.4,3,70.96,10,52.19,29,54.37,1,87.64,8,67.41,15,66.76,11,64.47,7,66.44
840,USA,3,United States of America,North America,65.19,4,70.23,5,52.67,11,55.64,5,82.7,1,71.8,2,70.14,16,62.02,17,62
578,NOR,4,Norway,Europe and Central Asia,64.95,2,71.21,21,47.9,21,54.58,6,79.01,2,70.75,1,71.45,5,72.51,22,60.96
752,SWE,5,Sweden,Europe and Central Asia,64.74,6,69.74,2,53.11,22,54.57,8,76.37,26,62.05,24,64.28,1,74.98,1,71.58
756,CHE,6,Switzerland,Europe and Central Asia,64.51,5,70.22,11,51.76,52,52.34,4,82.94,16,64.94,11,67.44,14,63.73,3,70.68
392,JPN,7,Japan,East Asia and Pacific,64.17,7,68.69,7,52.5,7,56.07,3,83.88,32,60.2,12,67.42,8,68.35,18,61.99
124,CAN,8,Canada,North America,63.16,8,67.5,16,50.77,5,56.48,7,78.57,3,70.61,4,69.68,36,49.39,8,66.27
250,FRA,9,France,Europe and Central Asia,62.81,9,67.42,12,51.63,35,53.86,14,67.54,39,59.51,13,67.16,3,72.8,2,71.04
246,FIN,10,Finland,Europe and Central Asia,62.56,11,66.94,3,52.86,43,53.19,16,66.05,4,70.27,7,68.5,12,64.38,10,65
528,NLD,11,Netherlands,Europe and Central Asia,62.32,10,67.06,14,51.2,48,52.76,9,74.22,66,56.21,9,68.03,2,74.16,16,62.52
208,DNK,12,Denmark,Europe and Central Asia,62.08,13,65.89,1,53.14,28,54.39,17,65.82,41,59.16,18,65.34,4,72.57,5,67.48
380,ITA,13,Italy,Europe and Central Asia,61.1,12,66.24,36,44.96,24,54.56,10,73.73,12,66.33,3,70.14,23,54.36,11,64.5
36,AUS,14,Australia,East Asia and Pacific,60.99,16,63.3,9,52.4,1,59.3,13,69.37,7,67.45,5,69.15,22,55.42,74,52.52
40,AUT,15,Austria,Europe and Central Asia,60.5,14,64.61,17,49.64,40,53.36,22,56.9,5,68.2,14,66.98,6,70.88,24,60.82
724,ESP,16,Spain,Europe and Central Asia,60.33,15,64.49,20,48.18,32,54.17,19,64.39,35,60.04,6,68.66,10,65.44,13,63.77
554,NZL,17,New Zealand,East Asia and Pacific,59.55,19,61.33,6,52.64,2,58.53,15,67.07,17,64.09,19,65.24,41,46.59,21,61.45
372,IRL,18,Ireland,Europe and Central Asia,59.45,17,62.15,8,52.43,19,54.62,25,53.61,11,66.41,23,64.46,18,60.04,6,66.91
352,ISL,19,Iceland,Europe and Central Asia,59.23,20,61.29,13,51.26,3,58.04,11,73.65,91,52.1,25,63.43,20,55.81,29,59.76
56,BEL,20,Belgium,Europe and Central Asia,57.97,21,61.29,18,48.97,51,52.4,21,56.97,34,60.12,16,65.57,9,65.8,37,58.29
156,CHN,21,China,East Asia and Pacific,57.29,18,61.4,38,44.49,63,51.95,12,72.39,67,55.96,10,67.86,21,55.68,73,52.6
442,LUX,22,Luxembourg,Europe and Central Asia,55.93,22,59.44,29,46.5,89,49.99,23,55.88,80,53.89,20,65.23,19,56.33,9,66.12
410,KOR,23,South Korea,East Asia and Pacific,55.76,24,58.67,22,47.54,72,51.17,31,44.38,13,66.27,21,64.78,25,54.22,12,64.42
702,SGP,24,Singapore,East Asia and Pacific,55.71,27,56.47,4,52.84,14,55.19,26,52.14,29,60.61,28,62.56,24,54.32,80,52.07
