code,iso,country,region,B.1.1.1,B.1.1.2,B.1.1.3,B.1.1.4,B.1.2.1,B.1.2.2,B.1.2.3,B.1.2.4,B.1.2.5,B.1.3.1,B.1.3.2,B.1.3.3,B.1.3.4,B.1.3.5,B.1.4.1,B.1.4.2,B.1.4.3,B.1.4.4,B.1.5.1,B.1.5.2,B.1.5.3,B.1.5.4,B.1.6.1,B.1.6.2,B.1.6.3,B.2.1.1,B.2.1.2,B.2.2.1,B.2.2.2,B.2.3.1,B.2.3.2,B.2.3.3,B.2.3.4,B.2.4.4,B.2.4.5,B.2.4.6,B.2.4.8,B.2.4.9,B.3.1.1,B.3.1.2,B.3.1.3,B.3.1.4,B.3.1.5,B.3.2.1,B.3.2.2,B.3.2.3,B.3.2.4,B.3.2.5,B.3.3.1,B.3.3.2,B.3.3.3,B.3.4.1,B.3.4.2,B.3.4.3,B.3.4.4,B.3.4.5,B.3.4.6,B.3.4.7,B.3.5.3,B.3.5.4,B.3.5.5,B.1.1,B.1.2,B.1.3,B.1.4,B.1.5,B.1.6,B.2.1,B.2.2,B.2.3,B.2.4,B.3.1,B.3.2,B.3.3,B.3.4,B.3.5,B.1,B.2,B.3,B
100,BGR,Bulgaria,Europe and Central Asia,99.15,93.93,95.61,74.8,96.09,78.44,99.6,100,47.54,0,22.98,84.43,4.09,68.37,79.94,85.99,97.34,77.69,60.1,2.04,49.01,84.1,9.52,53.61,40.02,90.66,94.58,91.37,83.05,61.54,41.86,18.39,7.35,13.77,16.23,36.74,2.24,16.6,84.31,80.09,50.16,16.58,29.8,99.55,41,51.8,38.9,95.78,3.12,98.22,3.35,91.67,38.2,100,100,13.9,52.83,43.1,37,83.6,44.8,90.87,84.33,35.97,65.82,48.81,34.38,92.62,58.14,32.28,9.51,52.19,65.41,34.89,56.66,33.08,62.81,51.94,28.68,49.31
104,MMR,Myanmar,East Asia and Pacific,70.1,39.23,57.04,82.52,37.12,86.8,99.36,56.32,94.37,80.13,77.25,60.94,29.21,94.75,48.83,62.47,93.42,31.54,50.34,11.97,7.54,70.18,75.17,83.91,74.97,87.06,88.57,94.37,64.4,35.97,60.56,47.52,3.1,92.1,97.22,74.02,87.38,97.02,64,19.24,45.8,84.53,70.6,91.98,23.4,55.1,41.2,79.49,0.38,65.73,21.42,96.82,12.3,51.8,49.6,0,4.82,51.57,16.7,67.9,54.8,62.22,74.8,68.46,51.18,35.01,78.02,87.82,52.92,36.79,49.75,56.84,58.23,29.18,30.76,27.88,61.48,60.41,27.33,50.91
108,BDI,Burundi,Sub-Saharan Arica,34.02,43.24,45.06,64.08,79.24,80.2,19.19,68.21,98.96,98.1,91.14,93.46,85.33,81.85,6.58,8.75,83.43,5.21,13.27,76.01,33.29,88.07,95.99,94.38,100,80.82,84.7,54.21,57.33,12.24,50.4,39.72,0.65,59.62,30.19,98.34,6.12,6.07,59.87,0,38.62,54.78,100,97.23,32.7,66.5,39.2,100,0.31,29.17,1.02,98.51,7.4,45.2,46.2,0,0,52.4,25.3,90.7,48.5,46.6,69.16,89.97,24.69,52.66,96.79,82.76,37.18,25.75,22.26,50.66,67.13,10.17,28.19,32.9,62.52,45.83,24.11,45.99
112,BLR,Belarus,Europe and Central Asia,100,99.94,99.17,93.09,94.52,85.15,98.65,100,61.33,5.03,39.59,100,79.11,24.07,84.42,6.13,94.52,74.42,79.61,3.36,43.99,96.02,2.37,52.61,29.47,78.08,91.64,68.15,74.1,38.68,59.81,32.71,55.7,4.59,0.2,23.69,19.11,13.9,84.78,99.29,57.78,0,19,100,24.1,68.8,54.9,100,0.47,93.5,4.04,89.73,70.6,100,60.8,7.2,41.47,51.37,27.5,91.3,55.1,98.05,87.93,49.56,46.27,55.74,28.15,84.86,47.42,46.72,6.83,52.17,69.56,32.67,52.83,34.78,64.91,48.63,29,49.25
116,KHM,Cambodia,East Asia and Pacific,80.99,61.86,75.41,65.96,43.98,87.62,96.72,68.64,95.65,87.75,84.66,80.74,77.62,87.22,51.09,88.02,93.04,42.86,48.39,28.33,16.35,86.08,73.57,83.91,86.7,94.55,85.77,90.17,85.31,18.36,22.72,10.53,1.5,15.65,92.16,85.64,80.11,38.13,76.31,20.15,52.99,41.13,73.8,94.01,13.8,51,80.8,100,0.2,45.42,8.56,97.82,11.2,41.4,49.4,0,2.89,50.23,31,26.4,49.1,71.05,78.52,83.6,58.04,44.79,81.39,90.16,58.49,13.28,34.63,52.87,67.92,18.06,28.96,21.3,69.51,54.5,26.16,52
12,DZA,Algeria,Middle East and North Africa,86.8,56.7,78.76,95.5,88.26,80.2,100,99.98,97.11,81.21,85.83,91.05,89.58,96.33,47.32,82.21,91.82,16.89,83.51,0,44.6,72.83,31.4,49.27,26.39,91.89,74.85,94.67,94.63,18.36,12.23,46.98,0.79,76.3,91.96,97.31,2.35,34.54,59.89,99.8,20.12,12.51,44.6,99.94,17.3,69.2,100,99.86,10.1,89.24,0.27,98.71,78.9,100,23.5,33.1,30.99,47.11,7.1,80.7,75.4,79.44,93.11,88.8,55.34,50.24,35.69,83.37,63.1,19.59,33.61,47.38,77.26,33.2,52.17,32.64,69.55,54.31,29.45,52.95
120,CMR,Cameroon,Sub-Saharan Arica,36.32,28.64,26.48,30.56,65.14,78.96,33.63,31.13,97.63,95.79,96.61,79.67,88.99,71.11,21.35,27.04,91.85,36.37,21.07,22.26,0,40.36,91.72,86.02,78.41,94.34,92.87,87.57,48.76,6.12,1.09,4.47,0.45,82.95,82.75,96.04,82.63,9.96,17.93,26.45,30.13,49.42,80.7,99.92,30.3,47.8,35.8,100,0.04,35.32,12.65,99.23,14.7,39.1,40.4,0,2.38,50.62,27.4,85.3,63.1,30.5,61.3,86.44,35.06,20.92,85.38,93.6,45.44,3.04,39.37,40.93,62.76,16,27.97,35.16,51.48,51.84,22.41,42.87
124,CAN,Canada,North America,99.15,93.93,97.44,96.86,99.13,96.01,99.99,100,72.19,84.59,32.96,89.46,46.57,60.34,90.86,92.38,96.17,70.93,100,1.51,89.76,84.1,11.98,0.04,48.07,68.02,79.08,93.57,85.59,62.25,76.13,87.11,85.82,94.51,4.95,20.77,0.67,13.28,100,100,56.9,51.04,2.7,96.14,26.7,60.2,61.7,96.68,0.14,98.55,89.06,92.67,100,100,100,67.4,92.76,81.5,28.8,81.2,82.4,96.84,93.46,62.78,69.85,68.84,20.03,73.55,59.72,77.83,14.91,62.13,68.28,62.58,78.98,38.48,72.25,55.57,36.34,56.48
132,CPV,Cabo Verde,Sub-Saharan Arica,93.34,77.61,87.29,51.52,91.19,85.15,100,74.82,57.77,88.71,78.19,82.01,90.18,56.01,30.86,88.6,83.07,46.38,65.95,15.38,42.86,88.07,57.74,57.96,52.7,0.78,87.5,91.24,70.05,63.8,22.72,23.56,0.94,22.06,68.77,19.05,6.49,86.88,64.97,80.7,52.99,91.84,77.3,92.11,46.8,87.4,100,100,0.97,88.68,0.59,93.66,30.3,44.7,25.6,20.9,20.7,48.31,2.1,72.53,45.2,77.44,81.79,79.02,50.63,53.07,56.13,44.14,53.76,27.76,22.58,73.56,85.26,30.08,33.7,23.97,67.9,38.04,35.69,49.28
140,CAF,Central African Republic,Sub-Saharan Arica,0,0,0,13.78,0,62.87,5.81,4.48,98.53,86.4,96.96,78.91,64.85,58.33,0.25,19.78,80.1,4.36,0,69.18,11.33,0,100,100,92.51,90.45,86.88,72.28,56.01,9.69,1.53,23.34,2.08,99.02,16.16,96.8,78.03,1.93,37.68,0,22.08,49.25,44.7,96.86,48.6,95.9,42.7,100,0,0,35.01,100,2.8,55.7,47.9,0,0,53.18,34.1,98.5,65.5,3.45,34.34,77.09,25.03,20.13,97.5,88.67,42.76,9.16,32.44,30.74,76.81,11.67,29.49,39.62,39.23,48.86,21.97,36.94
