code,iso,country,region,total,CDI,A.1,A.2,A.3,A.4,A.5,A,B.1,B.2,B.3,B,C.1,C.2,C.3,C.4,C.5,C.6,C.7,C.8,C,D.1,D.2,D.3,D.4,D.5,D,E.1,E.2,E.3,E.4,E.5,E,F.1,F.2,F.3,F.4,F.5,F,G.1,G.2,G.3,G
100,BGR,Bulgaria,Europe and Central Asia,45.47,45.15,63.39,47.06,19.37,44.1,40.06,42.8,62.81,51.94,28.68,49.31,12.5,0,41.15,0,50,50,40,56.53,32.5,60.56,45.29,75.99,42.17,69.64,57.93,66.02,91.79,76.69,57.12,11.52,60.63,28.57,33.88,15.17,5.21,15.97,19.76,44.84,69.64,45.87,52.92
104,MMR,Myanmar,East Asia and Pacific,42.71,42.1,61.84,18.26,33.64,35.13,34.42,36.66,61.48,60.41,27.33,50.91,0,0,31.9,0,50,25,10,23.01,17.12,59.11,51.03,67.77,61.36,54.4,58.38,56.37,51.37,67.24,49.17,10.79,46.99,46.51,52.12,37.57,65.62,15.21,43.41,25.07,71.13,45.09,46.63
108,BDI,Burundi,Sub-Saharan Arica,36.43,35.35,57.62,15.92,25.02,29.84,27.06,31.09,62.52,45.83,24.11,45.99,31.25,0,25.45,0,50,50,30,16.04,23.62,37.21,36.51,38.18,41.6,49.13,39.76,28.15,42.4,39.31,40.45,16.07,33.27,17.51,22.43,22.81,25,31.35,23.82,29.98,75.99,69.68,57.96
112,BLR,Belarus,Europe and Central Asia,47.65,48.74,62.96,30.06,26.08,45.77,40.4,41.05,64.91,48.63,29,49.25,12.5,0,38.55,0,50,50,20,33.98,25.33,60.86,43.05,77.85,51.46,56.46,57.35,63.06,95.51,82.13,50.06,8.17,59.79,56.28,56.1,51.16,81.25,22.01,53.36,31.77,68.55,49.57,49.47
116,KHM,Cambodia,East Asia and Pacific,41.18,39.98,57.08,20.93,23.53,35.26,38.38,35.03,69.51,54.5,26.16,52,43.75,0,28.1,50,50,50,20,23.72,31.51,58.08,39.17,36.07,33.86,66.77,46.35,51.39,59.35,57.77,48.69,13.71,46.18,30.12,31.4,22.07,43.75,21.12,29.69,25.13,66.04,47.75,45.84
12,DZA,Algeria,Middle East and North Africa,41.7,40,57.3,32.52,22.74,37.83,36.38,37.35,69.55,54.31,29.45,52.95,12.5,0,27.55,0,50,50,20,27.44,22.83,59.46,25.28,44.84,44.4,44.25,43.19,60.25,77.31,79.33,55.69,11.62,56.84,31.74,28.91,29.03,48.96,15.26,30.78,15.38,66.23,58.47,46.23
120,CMR,Cameroon,Sub-Saharan Arica,38.45,38.43,55.64,21.31,22.59,34.43,35.26,33.85,51.48,51.84,22.41,42.87,12.5,0,26.75,50,50,50,20,19.85,27.08,52.22,39.35,37.66,51.39,61.48,47.45,47.67,48.37,63.4,52.3,17.63,45.87,11.76,19.94,22.92,37.5,17.26,21.87,23.77,65.26,60.8,49.44
124,CAN,Canada,North America,63.16,67.5,68.4,66.06,33.94,46.85,38.61,50.77,72.25,55.57,36.34,56.48,68.75,100,43.75,50,100,100,70,88.09,78.57,95.48,48.91,75.64,60.8,72.49,70.61,69.1,97.45,90.96,70.88,20.03,69.68,52.78,43.98,56.13,56.25,37.8,49.39,70.78,60.4,69.65,66.27
132,CPV,Cabo Verde,Sub-Saharan Arica,39.78,37.47,54.7,48.89,21.31,39.2,36.23,40.06,67.9,38.04,35.69,49.28,6.25,0,27.35,0,50,50,10,39.97,23.42,52.72,20.19,43.08,52.59,51.8,42.48,40.46,73.65,63.89,43.92,16.61,47.71,24.02,16.83,30.73,25,16.97,22.71,15.48,72.17,67.18,51.09
140,CAF,Central African Republic,Sub-Saharan Arica,31.79,31.06,58.67,15.62,19.2,26.97,27.46,29.58,39.23,48.86,21.97,36.94,6.25,0,26.15,0,25,50,10,8.9,14.49,41.29,28.56,28.51,53.18,39.11,37.29,36.53,38.95,32.51,46.29,15.69,33.99,16.28,12.74,19.73,21.88,33.51,20.83,31.64,67.21,53.57,50.3
